,Movie Title,Review,Number of RT Reviews,Year,movie_ID,movie_title,year,genres,avg_rating,numVotes,directorID,director_name
230,Bowling for Columbine,95%,169,2002,tt0310793,Bowling for Columbine,2002,"Crime,Documentary,Drama",8.0,134306.0,nm0601619,Michael Moore
231,Read My Lips,97%,96,2002,,,,,,,,
232,Minority Report,91%,249,2002,tt0181689,Minority Report,2002,"Action,Crime,Mystery",7.7,465474.0,nm0000229,Steven Spielberg
233,Minority Report,91%,249,2002,tt0347546,Minority Report,2002,"Action,Adventure,Drama",6.7,108.0,\N,
234,About a Boy,93%,186,2002,tt0276751,About a Boy,2002,"Comedy,Drama,Romance",7.1,159655.0,"nm0919363,nm0919369",
235,About a Boy,93%,186,2002,tt0617867,About a Boy,2002,Comedy,6.1,36.0,nm0296945,Pamela Fryman
236,Monsoon Wedding,95%,120,2002,,,,,,,,
237,Insomnia,92%,201,2002,tt0278504,Insomnia,2002,"Drama,Mystery,Thriller",7.2,251638.0,nm0634240,Christopher Nolan
238,Spider-Man,90%,241,2002,tt0145487,Spider-Man,2002,"Action,Adventure,Sci-Fi",7.3,632005.0,nm0000600,Sam Raimi
239,Spider-Man,90%,241,2002,tt0316655,Spider-Man,2002,"Action,Adventure,Romance",7.3,1737.0,nm1243422,Chris Soares
240,Adaptation,91%,207,2002,,,,,,,,
241,Promises,96%,47,2002,tt0578120,Promises,2002,"Adventure,Drama,Sci-Fi",7.7,296.0,nm0071776,Geoff Bennett
242,The Trials of Henry Kissinger,95%,58,2002,tt0326306,The Trials of Henry Kissinger,2002,Documentary,7.7,1859.0,nm0418659,Eugene Jarecki
243,Open Hearts (Elsker Dig For Evigt),95%,57,2002,,,,,,,,
244,Talk to Her,92%,130,2002,tt0287467,Talk to Her,2002,"Drama,Mystery,Romance",8.0,96415.0,nm0000264,Pedro Almodóvar
245,Infernal Affairs (Mou gaan dou),94%,62,2002,,,,,,,,
246,Bloody Sunday,92%,104,2002,tt0280491,Bloody Sunday,2002,"Drama,History,War",7.7,21944.0,nm0339030,Paul Greengrass
247,Broken Wings (Knafayim Shvurot),93%,68,2002,,,,,,,,
248,Nine Queens (Nueve reinas),92%,95,2002,,,,,,,,
