,Title,Director,Release Date,Revenue,Writers,Rotten Tomatoes Review,Number of RT Reviews,Release Year,Genres,Average IMDB Rating,Number of IMDB Votes,Popularity,Average TMDB Rating,Number of TMDB Votes,Release Month,director0,director0,director0,director_0
336,Dancer in the Dark,['Lars von Trier'],"Sep 23, 2000","$2,839,256",['Lars von Trier'],68%,117.0,2000.0,"Crime,Drama,Musical",8.0,92707.0,8.026,7.9,751.0,5.0,['Lars von Trier'],['Lars von Trier'],['Lars von Trier'],['Lars von Trier']
354,Grateful Dawg,['Gillian Grisman'],"Feb 5, 2002","
Sony Pictures Classics
",[],70%,43.0,2000.0,Documentary,7.3,289.0,0.6,6.0,1.0,10.0,['Gillian Grisman'],['Gillian Grisman'],['Gillian Grisman'],['Gillian Grisman']
355,Timecode,['Mike Figgis'],"Apr 28, 2000","

                                97 minutes
                            
",['Mike Figgis'],68%,81.0,2000.0,"Drama,Romance",6.2,6215.0,2.64,6.1,35.0,3.0,['Mike Figgis'],['Mike Figgis'],['Mike Figgis'],['Mike Figgis']
359,About Adam,['Gerard Stembridge'],"Jan 28, 2000","

                                96 minutes
                            
",['Gerard Stembridge'],68%,57.0,2000.0,"Comedy,Romance",5.9,6145.0,3.931,5.3,58.0,1.0,['Gerard Stembridge'],['Gerard Stembridge'],['Gerard Stembridge'],['Gerard Stembridge']
364,Small Time Crooks,['Woody Allen'],"May 19, 2000","

                                94 minutes
                            
",['Woody Allen'],66%,100.0,2000.0,"Comedy,Crime",6.7,34539.0,6.443,6.4,254.0,5.0,['Woody Allen'],['Woody Allen'],['Woody Allen'],['Woody Allen']
391,Bring It On,['Peyton Reed'],"Aug 25, 2000","$67,905,760",['Jessica Bendinger'],63%,117.0,2000.0,"Comedy,Romance,Sport",6.0,80315.0,6.899,5.9,883.0,8.0,['Peyton Reed'],['Peyton Reed'],['Peyton Reed'],['Peyton Reed']
10804,Anywhere but Here,['Wayne Wang'],"Jun 1, 2000","

                                114 minutes
                            
",['Alvin Sargent'],64%,89.0,2000.0,,,,,,,,['Wayne Wang'],['Wayne Wang'],['Wayne Wang'],['Wayne Wang']
10804,Chocolat,['Lasse Hallstrom'],"Dec 15, 2000","

                                121 minutes
                            
",['Robert Nelson Jacobs'],62%,117.0,2000.0,"Drama,Romance",7.3,167294.0,,,,,['Lasse Hallstrom'],['Lasse Hallstrom'],['Lasse Hallstrom'],['Lasse Hallstrom']
402,The Patriot,['Ernst Lubitsch'],"Sep 1, 1928","
                        
                            Paramount Pictures
                        
                    ","['Hanns Kräly', 'Julian Johnson']",61%,134.0,2000.0,"Action,Drama,History",7.2,235582.0,18.174,7.0,1868.0,6.0,['Ernst Lubitsch'],['Ernst Lubitsch'],['Ernst Lubitsch'],['Ernst Lubitsch']
10804,Der Krieger und die Kaiserin,['Tom Tykwer'],"Jun 22, 2000","

                                135 minutes
                            
",['Tom Tykwer'],,,,,,,,,,,['Tom Tykwer'],['Tom Tykwer'],['Tom Tykwer'],['Tom Tykwer']
423,Return to Me,['Bonnie Hunt'],"Apr 7, 2000","

                                116 minutes
                            
","['Bonnie Hunt', 'Don Lake']",62%,99.0,2000.0,"Comedy,Drama,Romance",6.9,18362.0,6.334,6.3,101.0,4.0,['Bonnie Hunt'],['Bonnie Hunt'],['Bonnie Hunt'],['Bonnie Hunt']
432,Wonderland,['James Cox'],"Oct 3, 2003","

                                104 minutes
                            
","['James Cox', 'Captain Mauzner', 'D. Loriston Scott', 'Todd Samovitz']",63%,70.0,2000.0,Drama,7.4,131.0,7.036,6.2,118.0,10.0,['James Cox'],['James Cox'],['James Cox'],['James Cox']
457,The Tigger Movie,['Jun Falkenstein'],"Feb 11, 2000","

                                77 minutes
                            
",['Jun Falkenstein'],62%,74.0,2000.0,"Animation,Comedy,Drama",6.3,15558.0,9.76,6.4,252.0,2.0,['Jun Falkenstein'],['Jun Falkenstein'],['Jun Falkenstein'],['Jun Falkenstein']
458,Pitch Black,['David Twohy'],"Feb 18, 2000","

                                108 minutes
                            
","['Jim Wheat', 'Ken Wheat', 'David Twohy']",59%,109.0,2000.0,"Horror,Sci-Fi",7.1,212805.0,5.671,6.8,2548.0,2.0,['David Twohy'],['David Twohy'],['David Twohy'],['David Twohy']
10804,Alice et Martin,['André Téchiné'],"Jan 23, 2001","
                        
                            USA Films
                        
                    ",[],61%,44.0,2000.0,,,,,,,,['André Téchiné'],['André Téchiné'],['André Téchiné'],['André Téchiné']
466,Kikujiro,['Takeshi Kitano'],"Dec 12, 2000","
                        
                            Sony Pictures Classics
                        
                    ",[],60%,50.0,2000.0,,,,5.398,7.6,168.0,6.0,['Takeshi Kitano'],['Takeshi Kitano'],['Takeshi Kitano'],['Takeshi Kitano']
10804,Godzilla 2000,['Takao Okawara'],"Aug 18, 2000","$9,372,833","['Wataru Mimura', 'Hiroshi Kashiwabara']",57%,69.0,2000.0,,,,,,,,['Takao Okawara'],['Takao Okawara'],['Takao Okawara'],['Takao Okawara']
534,Groove,['Greg Harrison'],"Jun 9, 2000","

                                84 minutes
                            
",['Greg Harrison'],57%,51.0,2000.0,"Drama,Music",6.5,3838.0,1.114,6.2,11.0,6.0,['Greg Harrison'],['Greg Harrison'],['Greg Harrison'],['Greg Harrison']
559,The Dish,['Rob Sitch'],"Mar 14, 2001","

                                101 minutes
                            
","['Santo Cilauro', 'Rob Sitch', 'Tom Gleisner', 'Jane Kennedy']",96%,98.0,2001.0,,,,5.223,6.8,82.0,7.0,['Rob Sitch'],['Rob Sitch'],['Rob Sitch'],['Rob Sitch']
572,Werckmeister Harmonies,"['Ágnes Hranitzky', 'Bela Tarr']","Jan 1, 2001","

                                145 minutes
                            
","['Péter Dobai', 'Bela Tarr', 'László Krasznahorkai']",98%,40.0,2001.0,,,,6.072,7.9,112.0,7.0,"['Ágnes Hranitzky', 'Bela Tarr']","['Ágnes Hranitzky', 'Bela Tarr']","['Ágnes Hranitzky', 'Bela Tarr']","['Ágnes Hranitzky', 'Bela Tarr']"
583,Time Out,['Laurent Cantet'],"Jan 1, 2001","

                                134 minutes
                            
","['Robin Campillo', 'Laurent Cantet', 'Robert Campillo']",,,,,,,0.6,0.0,0.0,11.0,['Laurent Cantet'],['Laurent Cantet'],['Laurent Cantet'],['Laurent Cantet']
594,In the Bedroom,['Todd Field'],"Nov 23, 2001","$35,733,119","['Rob Festinger', 'Todd Field']",93%,138.0,2001.0,"Crime,Drama",7.4,35174.0,7.69,6.8,140.0,11.0,['Todd Field'],['Todd Field'],['Todd Field'],['Todd Field']
601,Ghost World,['Terry Zwigoff'],"Jul 20, 2001","$4,694,484","['Daniel Clowes', 'Terry Zwigoff']",92%,157.0,2001.0,"Comedy,Drama",7.4,106264.0,6.891,7.2,672.0,7.0,['Terry Zwigoff'],['Terry Zwigoff'],['Terry Zwigoff'],['Terry Zwigoff']
607,Spy Kids,['Robert Rodriguez'],"Mar 30, 2001","

                                88 minutes
                            
",['Robert Rodriguez'],93%,127.0,2001.0,"Action,Adventure,Comedy",5.5,98407.0,12.215,5.7,1714.0,3.0,['Robert Rodriguez'],['Robert Rodriguez'],['Robert Rodriguez'],['Robert Rodriguez']
10804,The Endurance,['George Butler'],"Sep 21, 2001","$2,071,494","['Caroline Alexander', 'Joseph Dorman']",95%,65.0,2001.0,,,,,,,,['George Butler'],['George Butler'],['George Butler'],['George Butler']
10804,Y Tu Mama Tambien,['Alfonso Cuarón'],"Apr 1, 2001","$13,622,333","['Carlos Cuarón', 'Carlos Cuarón', 'Alfonso Cuarón']",92%,137.0,2001.0,,,,,,,,['Alfonso Cuarón'],['Alfonso Cuarón'],['Alfonso Cuarón'],['Alfonso Cuarón']
623,Hedwig and the Angry Inch,['John Cameron Mitchell'],"Jan 19, 2001","$1,547,128",['John Cameron Mitchell'],93%,108.0,2001.0,"Comedy,Drama,Music",7.8,29278.0,7.513,7.7,130.0,7.0,['John Cameron Mitchell'],['John Cameron Mitchell'],['John Cameron Mitchell'],['John Cameron Mitchell']
661,Amores Perros,['Alejandro González Iñárritu'],"Mar 30, 2001","$4,856,342",['Guillermo Arriaga Jordan'],92%,116.0,2001.0,,,,9.815,7.7,956.0,6.0,['Alejandro González Iñárritu'],['Alejandro González Iñárritu'],['Alejandro González Iñárritu'],['Alejandro González Iñárritu']
674,Shrek,"['Vicky Jenson', 'Andrew Adamson']","May 18, 2001","$266,982,666","['Joe Stillman', 'Roger S.H. Schulman', 'Terry Rossio', 'Ted Elliott', 'Conrad Vernon', 'Cody Cameron']",88%,204.0,2001.0,"Adventure,Animation,Comedy",7.9,555141.0,20.963,7.5,8187.0,5.0,"['Vicky Jenson', 'Andrew Adamson']","['Vicky Jenson', 'Andrew Adamson']","['Vicky Jenson', 'Andrew Adamson']","['Vicky Jenson', 'Andrew Adamson']"
695,Mostly Martha,"['Sandra Nettelbeck', 'Sandra Nettlebeck']","Aug 16, 2001","$4,041,973",['Sandra Nettelbeck'],,,,,,,4.01,6.9,42.0,9.0,"['Sandra Nettelbeck', 'Sandra Nettlebeck']","['Sandra Nettelbeck', 'Sandra Nettlebeck']","['Sandra Nettelbeck', 'Sandra Nettlebeck']","['Sandra Nettelbeck', 'Sandra Nettlebeck']"
10804,The Gleaners and I,['Agnès Varda'],"Jul 23, 2002","
Zeitgeist Films
",[],93%,40.0,2001.0,,,,,,,,['Agnès Varda'],['Agnès Varda'],['Agnès Varda'],['Agnès Varda']
706,Our Song,['Jim McKay'],"May 23, 2001","

                                95 minutes
                            
",['Jim McKay'],91%,54.0,2001.0,,,,1.164,6.9,8.0,1.0,['Jim McKay'],['Jim McKay'],['Jim McKay'],['Jim McKay']
713,Together,['Kaige Chen'],"May 30, 2003","$1,018,149","['Kaige Chen', 'Xue Xiaolu']",90%,80.0,2001.0,,,,6.164,7.0,111.0,8.0,['Kaige Chen'],['Kaige Chen'],['Kaige Chen'],['Kaige Chen']
